;DENV46/1;DENV46/182;DENV73/1;DENV73/182
1;0.16388;0.17202;0.19731;0.17202
1;0.24613;0.28187;0.23985;0.28187
1;0.39767;0.47971;0.39397;0.47971
1;0.26007;0.44836;0.24425;0.44836
1;0.28162;0.48679;0.28756;0.48679
1;0.24280;0.49207;0.24141;0.49207
1;0.26076;0.51086;0.28920;0.51086
1;0.34167;0.38292;0.33621;0.38292
1;0.29045;0.54040;0.22316;0.54040
1;0.22162;0.34082;0.39372;0.34082
1;0.32894;0.46093;0.23371;0.46093
1;0.33041;0.40412;0.34977;0.40412
1;0.25303;0.33827;0.20007;0.33827
1;0.25043;0.36017;0.26824;0.36017
1;0.25664;0.30953;0.23648;0.30953
1;0.22499;0.37510;0.30569;0.37510
1;0.21255;0.27362;0.21726;0.27362
1;0.26564;0.32229;0.18032;0.32229
1;0.20375;0.32962;0.21019;0.32962
1;0.21247;0.31925;0.25093;0.31925
1;0.27153;0.26644;0.26269;0.26644
1;0.23637;0.34468;0.22378;0.34468
1;0.30541;0.46932;0.24594;0.46932
1;0.23915;0.35754;0.22271;0.35754
1;0.22109;0.49199;0.24441;0.49199
1;0.23175;0.26046;0.23858;0.26046
1;0.21625;0.36049;0.26173;0.36049
1;0.24317;0.33595;0.24459;0.33595
1;0.21941;0.33289;0.27653;0.33289
1;0.28787;0.34204;0.25550;0.34204
1;0.24976;0.33207;0.32388;0.33207
1;0.20022;0.21840;0.25407;0.21840
1;0.26264;0.26612;0.32976;0.26612
1;0.23903;0.30965;0.20382;0.30965
1;0.24587;0.23361;0.23762;0.23361
1;0.28493;0.43069;0.28347;0.43069
1;0.24714;0.29271;0.20912;0.29271
1;0.24579;0.39264;0.29930;0.39264
1;0.23244;0.35987;0.25540;0.35987
1;0.24700;0.27651;0.23326;0.27651
1;0.31984;0.48904;0.24894;0.48904
1;0.29311;0.34352;0.27690;0.34352
1;0.34559;0.41994;0.38724;0.41994
1;0.25248;0.26340;0.21214;0.26340
1;0.24495;0.27284;0.23631;0.27284
1;0.27568;0.24986;0.25043;0.24986
1;0.22594;0.28698;0.22014;0.28698
1;0.27781;0.44212;0.27496;0.44212
1;0.34663;0.44644;0.30338;0.44644
1;0.25740;0.46215;0.20701;0.46215
1;0.24646;0.29257;0.22984;0.29257
1;0.32294;0.44363;0.22836;0.44363
1;0.29602;0.33288;0.23396;0.33288
1;0.26198;0.43109;0.27193;0.43109
1;0.17658;0.25428;0.22065;0.25428
1;0.19991;0.32645;0.29991;0.32645
1;0.25003;0.38972;0.26030;0.38972
1;0.25737;0.40034;0.21673;0.40034
1;0.24021;0.33505;0.24072;0.33505
1;0.39004;0.60537;0.33742;0.60537
1;0.23648;0.50593;0.21554;0.50593
1;0.29280;0.30054;0.35629;0.30054
1;0.19592;0.35299;0.30415;0.35299
1;0.28245;0.44417;0.39984;0.44417
1;0.19708;0.59293;0.24353;0.59293
1;0.29562;0.29934;0.24770;0.29934
1;0.21339;0.25979;0.21495;0.25979
1;0.23784;0.26892;0.23035;0.26892
1;0.24367;0.27406;0.22468;0.27406
1;0.24746;0.47867;0.23396;0.47867
1;0.39470;0.38422;0.35054;0.38422
1;0.24566;0.25112;0.22791;0.25112
1;0.31730;0.37534;0.32467;0.37534
1;0.33237;0.58077;0.39928;0.58077
1;0.22884;0.27359;0.20232;0.27359
1;0.32823;0.44223;0.33761;0.44223
1;0.24499;0.44046;0.19042;0.44046
1;0.23544;0.29364;0.24174;0.29364
1;0.28159;0.43175;0.28376;0.43175
1;0.21456;0.65452;0.22098;0.65452
1;0.21133;0.52452;0.20919;0.52452
1;0.19676;0.36258;0.27538;0.36258
1;0.22731;0.33644;0.27217;0.33644
1;0.28104;0.46090;0.22840;0.46090
1;0.25273;0.26180;0.27494;0.26180
1;0.23477;0.38018;0.19066;0.38018
1;0.21719;0.46076;0.20058;0.46076
1;0.21488;0.29944;0.25151;0.29944
1;0.25119;0.30013;0.28968;0.30013
1;0.32939;0.40692;0.42372;0.40692
1;0.25522;0.20269;0.24471;0.20269
1;0.22684;0.23410;0.23714;0.23410
1;0.25352;0.29096;0.25272;0.29096
1;0.23911;0.25969;0.20146;0.25969
1;0.32772;0.34269;0.32058;0.34269
1;0.20813;0.33466;0.22442;0.33466
1;0.26261;0.33005;0.23969;0.33005
1;0.28740;0.40034;0.21673;0.40034
1;0.18749;0.30320;0.25217;0.30320
1;0.24752;0.32985;0.20778;0.32985
1;0.21882;0.25291;0.24004;0.25291
1;0.20143;0.28588;0.22245;0.28588
1;0.25166;0.29081;0.27198;0.29081
1;0.21364;0.26435;0.22116;0.26435
1;0.22715;0.36543;0.27582;0.36543
1;0.22388;0.40480;0.27196;0.40480
1;0.24388;0.22660;0.21224;0.22660
1;0.20663;0.16411;0.20782;0.16411
1;0.27585;0.37748;0.24305;0.37748
1;0.29378;0.47827;0.21406;0.47827
1;0.23639;0.27409;0.23882;0.27409
1;0.27793;0.28849;0.26820;0.28849
1;0.22328;0.26358;0.27244;0.26358
1;0.23368;0.54007;0.26427;0.54007
1;0.25073;0.30739;0.23973;0.30739
1;0.14664;0.21826;0.17196;0.21826
1;0.24062;0.30011;0.24163;0.30011
1;0.24302;0.36791;0.26486;0.36791
1;0.25653;0.45839;0.25953;0.45839
1;0.25373;0.34103;0.21396;0.34103
1;0.21051;0.46184;0.31038;0.46184
1;0.24655;0.38743;0.30160;0.38743
1;0.23131;0.32631;0.33057;0.32631
1;0.25063;0.33864;0.25135;0.33864
1;0.24825;0.31876;0.25345;0.31876
1;0.23311;0.26946;0.39950;0.26946
1;0.25877;0.31337;0.23213;0.31337
1;0.22344;0.32142;0.25121;0.32142
1;0.20212;0.30640;0.24464;0.30640
1;0.26693;0.24146;0.23855;0.24146
1;0.38673;0.58329;0.45584;0.58329
1;0.20333;0.22086;0.21883;0.22086
1;0.23265;0.23423;0.25621;0.23423
1;0.24948;0.42238;0.24988;0.42238
1;0.22754;0.38948;0.26475;0.38948
1;0.30785;0.39649;0.27408;0.39649
1;0.38383;0.43532;0.29022;0.43532
1;0.23333;0.22493;0.23067;0.22493
1;0.29364;0.26047;0.29455;0.26047
1;0.25436;0.28706;0.24753;0.28706
1;0.22703;0.40555;0.24938;0.40555
1;0.22522;0.21034;0.16974;0.21034
1;0.23832;0.31087;0.26482;0.31087
1;0.19121;0.15607;0.18575;0.15607
1;0.23293;0.30957;0.22500;0.30957
1;0.22082;0.55962;0.35467;0.55962
1;0.31951;0.27631;0.21993;0.27631
1;0.23284;0.45263;0.24562;0.45263
1;0.28903;0.40163;0.36110;0.40163
1;0.22222;0.49129;0.24334;0.49129
1;0.26499;0.50785;0.37706;0.50785
1;0.22202;0.42142;0.24306;0.42142
1;0.26265;0.37715;0.23935;0.37715
1;0.25202;0.52546;0.24066;0.52546
1;0.26920;0.25731;0.21228;0.25731
1;0.27288;0.27432;0.22260;0.27432
1;0.23124;0.29356;0.33469;0.29356
1;0.19490;0.57613;0.23400;0.57613
1;0.25144;0.44469;0.20522;0.44469
1;0.21741;0.24979;0.35151;0.24979
1;0.25827;0.23967;0.25574;0.23967
1;0.25223;0.41853;0.21666;0.41853
1;0.34656;0.51552;0.26436;0.51552
1;0.22561;0.40311;0.23250;0.40311
1;0.29717;0.44357;0.26507;0.44357
1;0.22258;0.20065;0.22041;0.20065
1;0.26351;0.31266;0.23342;0.31266
1;0.30224;0.50863;0.30395;0.50863
1;0.22394;0.57478;0.26843;0.57478
1;0.24870;0.37149;0.23620;0.37149
1;0.29293;0.42664;0.28486;0.42664
1;0.21386;0.26762;0.24007;0.26762
1;0.23746;0.48011;0.26102;0.48011
1;0.25171;0.25848;0.29887;0.25848
1;0.23065;0.23090;0.24500;0.23090
1;0.30988;0.56577;0.25482;0.56577
1;0.23751;0.32672;0.23933;0.32672
1;0.30165;0.51485;0.25538;0.51485
1;0.26137;0.27942;0.18425;0.27942
1;0.26579;0.26083;0.24443;0.26083
1;0.25995;0.30389;0.29607;0.30389
1;0.22788;0.28804;0.25725;0.28804
1;0.20122;0.21510;0.23472;0.21510
1;0.17163;0.07822;0.16036;0.07822
1;0.24744;0.32578;0.22257;0.32578
1;0.25642;0.24217;0.26633;0.24217
1;0.22908;0.32165;0.29791;0.32165
1;0.26825;0.47511;0.24306;0.47511
1;0.26353;0.22380;0.27033;0.22380
1;0.24912;0.50309;0.21122;0.50309
1;0.23868;0.41451;0.26521;0.41451
1;0.22177;0.25924;0.29137;0.25924
1;0.29605;0.37074;0.34433;0.37074
1;0.28861;0.43175;0.29149;0.43175
1;0.27787;0.30808;0.26986;0.30808
1;0.20656;0.23131;0.19137;0.23131
1;0.22228;0.39046;0.25045;0.39046
1;0.37541;0.42732;0.32334;0.42732
1;0.25981;0.36987;0.24879;0.36987
1;0.23956;0.24587;0.23656;0.24587
1;0.24747;0.36101;0.25182;0.36101
1;0.25506;0.30436;0.27651;0.30436
1;0.34535;0.49518;0.33898;0.49518
1;0.38869;0.39340;0.41876;0.39340
1;0.26196;0.24667;0.23272;0.24667
