;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y18546;0.26886;0.22695;0.22328;0.22695
y18547;0.22407;0.43931;0.24424;0.43931
y18548;0.26949;0.41445;0.26784;0.41445
y18549;0.28705;0.20198;0.22884;0.20198
y18550;0.25305;0.24005;0.19637;0.24005
y18551;0.26027;0.28813;0.23573;0.28813
y18552;0.25945;0.28990;0.26896;0.28990
y18553;0.24593;0.43709;0.26669;0.43709
y18554;0.24674;0.24239;0.20003;0.24239
y18555;0.26621;0.34167;0.22839;0.34167
y18556;0.24347;0.31457;0.22545;0.31457
y18557;0.33360;0.44221;0.35258;0.44221
y18558;0.27065;0.49152;0.27394;0.49152
y18559;0.37611;0.54127;0.29723;0.54127
y18560;0.26985;0.25025;0.18778;0.25025
y18561;0.25044;0.36220;0.23549;0.36220
y18562;0.25656;0.43075;0.28306;0.43075
y18563;0.23961;0.50284;0.22866;0.50284
y18564;0.15895;0.14114;0.15785;0.14114
y18565;0.25600;0.43315;0.28422;0.43315
y18566;0.24752;0.34615;0.24144;0.34615
y18567;0.25124;0.22204;0.25296;0.22204
y18568;0.24964;0.25545;0.25580;0.25545
y18569;0.27618;0.39955;0.27117;0.39955
y18570;0.30650;0.39607;0.28650;0.39607
y18571;0.35550;0.59373;0.36233;0.59373
y18572;0.19628;0.34297;0.28890;0.34297
y18573;0.25475;0.26432;0.21216;0.26432
y18574;0.26540;0.36931;0.24895;0.36931
y18575;0.26564;0.35621;0.28415;0.35621
y18576;0.23631;0.34993;0.27620;0.34993
y18577;0.23226;0.40766;0.23104;0.40766
y18578;0.26153;0.56754;0.22121;0.56754
y18579;0.32260;0.53732;0.26693;0.53732
y18580;0.28732;0.26338;0.36097;0.26338
y18581;0.25880;0.46648;0.30701;0.46648
y18582;0.20596;0.32872;0.26782;0.32872
y18583;0.20827;0.21954;0.17133;0.21954
y18584;0.32141;0.40251;0.40857;0.40251
y18585;0.20721;0.30413;0.23597;0.30413
y18586;0.23796;0.42087;0.23410;0.42087
y18587;0.24889;0.38424;0.23637;0.38424
y18588;0.25550;0.46153;0.21253;0.46153
y18589;0.29959;0.34951;0.23489;0.34951
y18590;0.22353;0.38342;0.26149;0.38342
y18591;0.25198;0.52510;0.24268;0.52510
y18592;0.30889;0.16867;0.21854;0.16867
y18593;0.24936;0.31555;0.27743;0.31555
y18594;0.24194;0.35009;0.29718;0.35009
y18595;0.23649;0.37680;0.28394;0.37680
y18596;0.23055;0.32154;0.21099;0.32154
y18597;0.24688;0.42159;0.26252;0.42159
y18598;0.27693;0.30305;0.25756;0.30305
y18599;0.18061;0.19311;0.19979;0.19311
y18600;0.31317;0.58219;0.22023;0.58219
y18601;0.20300;0.28631;0.24229;0.28631
y18602;0.24862;0.47445;0.20026;0.47445
y18603;0.26914;0.32573;0.19758;0.32573
y18604;0.21087;0.40769;0.29965;0.40769
y18605;0.26717;0.54953;0.20941;0.54953
y18606;0.24395;0.31388;0.25567;0.31388
y18607;0.23212;0.28118;0.20836;0.28118
y18608;0.21800;0.52027;0.22168;0.52027
y18609;0.36572;0.38442;0.34451;0.38442
y18610;0.26128;0.46560;0.25838;0.46560
y18611;0.42709;0.49145;0.35736;0.49145
y18612;0.20412;0.26157;0.23092;0.26157
y18613;0.26583;0.40818;0.28449;0.40818
y18614;0.24957;0.36456;0.23936;0.36456
y18615;0.39001;0.49182;0.42461;0.49182
y18616;0.21797;0.26063;0.27291;0.26063
y18617;0.21634;0.29378;0.23321;0.29378
y18618;0.24128;0.34803;0.22802;0.34803
y18619;0.22858;0.44265;0.22446;0.44265
y18620;0.23646;0.20361;0.20346;0.20361
