;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y6354;0.32105;0.53020;0.21599;0.53020
y6355;0.28312;0.46362;0.32981;0.46362
y6356;0.21871;0.42935;0.22816;0.42935
y6357;0.24604;0.26718;0.24583;0.26718
y6358;0.24747;0.41201;0.21832;0.41201
y6359;0.24699;0.20934;0.30110;0.20934
y6360;0.44691;0.52148;0.35693;0.52148
y6361;0.23056;0.29422;0.22933;0.29422
y6362;0.23399;0.48404;0.26794;0.48404
y6363;0.24737;0.38870;0.24584;0.38870
y6364;0.29944;0.28497;0.25010;0.28497
y6365;0.26577;0.27217;0.23451;0.27217
y6366;0.26833;0.46837;0.24454;0.46837
y6367;0.19088;0.36506;0.32188;0.36506
y6368;0.24613;0.43746;0.26599;0.43746
y6369;0.34066;0.48244;0.35818;0.48244
y6370;0.22512;0.26250;0.25929;0.26250
y6371;0.24870;0.55647;0.26184;0.55647
y6372;0.24850;0.27532;0.24800;0.27532
y6373;0.22661;0.24349;0.17164;0.24349
y6374;0.19021;0.23391;0.26100;0.23391
y6375;0.24833;0.43598;0.20737;0.43598
y6376;0.22857;0.32640;0.20621;0.32640
y6377;0.25198;0.52677;0.29500;0.52677
y6378;0.36534;0.43551;0.24633;0.43551
y6379;0.36484;0.60884;0.38526;0.60884
y6380;0.34055;0.42011;0.33070;0.42011
y6381;0.27727;0.39150;0.27874;0.39150
y6382;0.20199;0.35382;0.20000;0.35382
y6383;0.21173;0.30762;0.21510;0.30762
y6384;0.21695;0.31461;0.35160;0.31461
y6385;0.23691;0.31580;0.24957;0.31580
y6386;0.32494;0.44891;0.34117;0.44891
y6387;0.26545;0.23548;0.23877;0.23548
y6388;0.22677;0.28075;0.22822;0.28075
y6389;0.21019;0.34421;0.19964;0.34421
y6390;0.22218;0.36056;0.24536;0.36056
y6391;0.23543;0.27972;0.19775;0.27972
y6392;0.23331;0.24052;0.23260;0.24052
y6393;0.24194;0.36356;0.24959;0.36356
y6394;0.30264;0.34427;0.33931;0.34427
y6395;0.28609;0.24722;0.26575;0.24722
y6396;0.32701;0.22430;0.26260;0.22430
y6397;0.23910;0.34750;0.22180;0.34750
y6398;0.30535;0.39427;0.22340;0.39427
y6399;0.20450;0.51362;0.21996;0.51362
y6400;0.19336;0.36321;0.23059;0.36321
y6401;0.25425;0.45064;0.25588;0.45064
y6402;0.16492;0.45398;0.26937;0.45398
y6403;0.38896;0.44431;0.42622;0.44431
y6404;0.25083;0.50970;0.21645;0.50970
y6405;0.23982;0.26137;0.31219;0.26137
y6406;0.24525;0.23973;0.25217;0.23973
y6407;0.21448;0.31912;0.28051;0.31912
y6408;0.26678;0.22317;0.25002;0.22317
y6409;0.27200;0.43987;0.25428;0.43987
y6410;0.22522;0.32458;0.23315;0.32458
y6411;0.25340;0.48633;0.23408;0.48633
y6412;0.28297;0.44264;0.39858;0.44264
y6413;0.25397;0.56549;0.31089;0.56549
y6414;0.26639;0.30081;0.19590;0.30081
y6415;0.20142;0.39587;0.21711;0.39587
y6416;0.22506;0.35068;0.24013;0.35068
y6417;0.37788;0.39442;0.32101;0.39442
y6418;0.21723;0.48929;0.21714;0.48929
y6419;0.26703;0.35137;0.31392;0.35137
y6420;0.25320;0.40132;0.23669;0.40132
y6421;0.20052;0.25065;0.21313;0.25065
y6422;0.20939;0.25204;0.24331;0.25204
y6423;0.22241;0.29271;0.23921;0.29271
y6424;0.25132;0.38324;0.19424;0.38324
y6425;0.23141;0.31721;0.24810;0.31721
y6426;0.36169;0.43927;0.39919;0.43927
y6427;0.21816;0.39169;0.25698;0.39169
y6428;0.24715;0.25082;0.27173;0.25082
y6429;0.31234;0.42135;0.24064;0.42135
y6430;0.31369;0.31766;0.31333;0.31766
y6431;0.29721;0.55927;0.27032;0.55927
y6432;0.24470;0.26255;0.30036;0.26255
y6433;0.22411;0.29817;0.23562;0.29817
y6434;0.25376;0.35926;0.25172;0.35926
y6435;0.25382;0.27816;0.23835;0.27816
y6436;0.15576;0.15150;0.17830;0.15150
y6437;0.27273;0.27795;0.25834;0.27795
y6438;0.24777;0.38175;0.33738;0.38175
y6439;0.22518;0.23279;0.17922;0.23279
y6440;0.23425;0.29120;0.25864;0.29120
y6441;0.27546;0.22785;0.21127;0.22785
y6442;0.26996;0.20988;0.24498;0.20988
y6443;0.24811;0.31624;0.27768;0.31624
y6444;0.25520;0.26724;0.23893;0.26724
y6445;0.22263;0.45982;0.21707;0.45982
y6446;0.25454;0.28787;0.23346;0.28787
y6447;0.21575;0.46031;0.18111;0.46031
y6448;0.22174;0.25789;0.22540;0.25789
y6449;0.22310;0.34720;0.27300;0.34720
y6450;0.24780;0.27327;0.21521;0.27327
y6451;0.27716;0.47296;0.29802;0.47296
y6452;0.26052;0.26300;0.20982;0.26300
y6453;0.22658;0.33661;0.26003;0.33661
y6454;0.20984;0.23066;0.24676;0.23066
y6455;0.21069;0.47683;0.22241;0.47683
y6456;0.23902;0.26142;0.22208;0.26142
y6457;0.26570;0.42577;0.25145;0.42577
y6458;0.23355;0.47852;0.21829;0.47852
y6459;0.23934;0.39787;0.26620;0.39787
y6460;0.19637;0.35524;0.27806;0.35524
y6461;0.22809;0.36013;0.25150;0.36013
y6462;0.23200;0.50222;0.18343;0.50222
y6463;0.27515;0.50040;0.24262;0.50040
y6464;0.25382;0.48188;0.23499;0.48188
y6465;0.18293;0.31091;0.21610;0.31091
y6466;0.26358;0.20927;0.24103;0.20927
y6467;0.24771;0.40347;0.27139;0.40347
y6468;0.24196;0.53378;0.25826;0.53378
y6469;0.26954;0.42841;0.28460;0.42841
y6470;0.25304;0.47070;0.19908;0.47070
y6471;0.27453;0.33513;0.25024;0.33513
y6472;0.21856;0.24342;0.22644;0.24342
y6473;0.21134;0.21402;0.18417;0.21402
y6474;0.23643;0.38302;0.18804;0.38302
y6475;0.23226;0.21911;0.27341;0.21911
y6476;0.22725;0.21387;0.25727;0.21387
y6477;0.24176;0.34866;0.34365;0.34866
y6478;0.34584;0.37165;0.21346;0.37165
y6479;0.26744;0.31010;0.22664;0.31010
y6480;0.24765;0.35840;0.27573;0.35840
y6481;0.26010;0.48745;0.25965;0.48745
y6482;0.30654;0.25511;0.23591;0.25511
y6483;0.21709;0.40991;0.21405;0.40991
y6484;0.22485;0.43601;0.21050;0.43601
y6485;0.23673;0.43438;0.23224;0.43438
y6486;0.41829;0.37614;0.34135;0.37614
y6487;0.22940;0.20844;0.24087;0.20844
y6488;0.21829;0.27730;0.27910;0.27730
y6489;0.24400;0.35907;0.26764;0.35907
y6490;0.30563;0.46127;0.31750;0.46127
y6491;0.31583;0.26730;0.21223;0.26730
y6492;0.26613;0.46106;0.26168;0.46106
y6493;0.20031;0.41040;0.23853;0.41040
y6494;0.32171;0.39621;0.38195;0.39621
y6495;0.26174;0.33714;0.28464;0.33714
y6496;0.24503;0.48836;0.19837;0.48836
y6497;0.32374;0.57714;0.42969;0.57714
y6498;0.26112;0.32177;0.32166;0.32177
y6499;0.20509;0.29101;0.21671;0.29101
y6500;0.21477;0.40580;0.25848;0.40580
y6501;0.20266;0.28491;0.20658;0.28491
y6502;0.23037;0.36841;0.38284;0.36841
y6503;0.20913;0.32990;0.26171;0.32990
y6504;0.35812;0.41671;0.40571;0.41671
y6505;0.23607;0.29765;0.19402;0.29765
y6506;0.23149;0.34817;0.24808;0.34817
y6507;0.25834;0.45839;0.27179;0.45839
y6508;0.21366;0.22942;0.20863;0.22942
y6509;0.19981;0.36975;0.17988;0.36975
y6510;0.30719;0.36948;0.21547;0.36948
y6511;0.24476;0.26672;0.27805;0.26672
y6512;0.23439;0.26715;0.27632;0.26715
y6513;0.32877;0.43471;0.30632;0.43471
y6514;0.21941;0.25543;0.35382;0.25543
y6515;0.34318;0.39939;0.21171;0.39939
y6516;0.24411;0.29955;0.23716;0.29955
y6517;0.24826;0.42147;0.27897;0.42147
y6518;0.22706;0.30561;0.28185;0.30561
y6519;0.23058;0.24813;0.23216;0.24813
y6520;0.35491;0.31035;0.23169;0.31035
y6521;0.32672;0.46345;0.35479;0.46345
y6522;0.24177;0.21357;0.16068;0.21357
y6523;0.21349;0.60027;0.20538;0.60027
y6524;0.22181;0.45730;0.20703;0.45730
y6525;0.22009;0.50386;0.28898;0.50386
y6526;0.24259;0.31783;0.21081;0.31783
y6527;0.25611;0.43250;0.23144;0.43250
y6528;0.20644;0.43563;0.20302;0.43563
y6529;0.22608;0.27277;0.21447;0.27277
y6530;0.25730;0.29457;0.26110;0.29457
y6531;0.24646;0.53736;0.22933;0.53736
y6532;0.23615;0.26880;0.22136;0.26880
y6533;0.24207;0.44723;0.23805;0.44723
y6534;0.27505;0.25634;0.27251;0.25634
y6535;0.24303;0.28704;0.24463;0.28704
y6536;0.24835;0.36071;0.30236;0.36071
y6537;0.25109;0.27804;0.19654;0.27804
y6538;0.25043;0.45997;0.24297;0.45997
y6539;0.23502;0.22716;0.22530;0.22716
y6540;0.22346;0.38567;0.25784;0.38567
y6541;0.25351;0.45786;0.17965;0.45786
y6542;0.29908;0.39398;0.25164;0.39398
y6543;0.26168;0.31658;0.28475;0.31658
y6544;0.19578;0.48631;0.28621;0.48631
y6545;0.22459;0.30530;0.31093;0.30530
y6546;0.13784;0.11667;0.16629;0.11667
y6547;0.25141;0.33528;0.22860;0.33528
y6548;0.26488;0.44443;0.31733;0.44443
y6549;0.26973;0.31830;0.27787;0.31830
y6550;0.22696;0.29180;0.24060;0.29180
y6551;0.18141;0.19491;0.17715;0.19491
y6552;0.25498;0.25989;0.21194;0.25989
y6553;0.22289;0.32548;0.18947;0.32548
y6554;0.23528;0.47741;0.24172;0.47741
y6555;0.26113;0.41607;0.23885;0.41607
y6556;0.23066;0.40519;0.19966;0.40519
y6557;0.24642;0.25078;0.25076;0.25078
y6558;0.25676;0.44077;0.27512;0.44077
y6559;0.24320;0.31585;0.27793;0.31585
y6560;0.24623;0.27500;0.33781;0.27500
y6561;0.24773;0.31472;0.27957;0.31472
y6562;0.24876;0.38321;0.22224;0.38321
y6563;0.24982;0.24225;0.27133;0.24225
y6564;0.29941;0.31140;0.24774;0.31140
y6565;0.25435;0.34597;0.28240;0.34597
y6566;0.23945;0.26232;0.22238;0.26232
y6567;0.24020;0.46466;0.23580;0.46466
y6568;0.25121;0.42154;0.27677;0.42154
y6569;0.23126;0.24690;0.20550;0.24690
y6570;0.21876;0.43981;0.26556;0.43981
y6571;0.23424;0.42743;0.32970;0.42743
y6572;0.21648;0.24199;0.24574;0.24199
y6573;0.25173;0.22939;0.24018;0.22939
y6574;0.23953;0.40035;0.22771;0.40035
y6575;0.26056;0.28303;0.29396;0.28303
y6576;0.25236;0.35265;0.23382;0.35265
y6577;0.25715;0.42851;0.25666;0.42851
y6578;0.29568;0.44220;0.27670;0.44220
y6579;0.32344;0.31888;0.30268;0.31888
y6580;0.22372;0.38437;0.24062;0.38437
y6581;0.25447;0.30450;0.24468;0.30450
y6582;0.23770;0.38368;0.24252;0.38368
y6583;0.24956;0.34727;0.25126;0.34727
y6584;0.21074;0.40614;0.25545;0.40614
y6585;0.27997;0.22878;0.23192;0.22878
y6586;0.36152;0.48107;0.33787;0.48107
y6587;0.25877;0.37731;0.22728;0.37731
y6588;0.27185;0.24532;0.24819;0.24532
y6589;0.25759;0.20410;0.25250;0.20410
y6590;0.21339;0.23180;0.21617;0.23180
y6591;0.21202;0.38135;0.21345;0.38135
y6592;0.27109;0.20512;0.27685;0.20512
y6593;0.25274;0.45016;0.25663;0.45016
y6594;0.25171;0.42080;0.27839;0.42080
y6595;0.29241;0.26898;0.28300;0.26898
y6596;0.26559;0.45058;0.20049;0.45058
y6597;0.24651;0.35588;0.27790;0.35588
y6598;0.24916;0.26641;0.25644;0.26641
y6599;0.34799;0.51470;0.29838;0.51470
y6600;0.19837;0.30835;0.25461;0.30835
y6601;0.24954;0.32377;0.22732;0.32377
y6602;0.25608;0.35837;0.24177;0.35837
y6603;0.21659;0.18881;0.25621;0.18881
y6604;0.21809;0.28714;0.24268;0.28714
y6605;0.28082;0.40774;0.29419;0.40774
y6606;0.28964;0.43091;0.28506;0.43091
y6607;0.25672;0.30038;0.32444;0.30038
y6608;0.23785;0.54803;0.27810;0.54803
y6609;0.24955;0.31538;0.27783;0.31538
y6610;0.24862;0.32028;0.27889;0.32028
y6611;0.26617;0.26459;0.32797;0.26459
y6612;0.25979;0.31555;0.23299;0.31555
y6613;0.23575;0.32009;0.17680;0.32009
y6614;0.25232;0.46599;0.25275;0.46599
y6615;0.27032;0.37490;0.26524;0.37490
y6616;0.21066;0.35405;0.20362;0.35405
y6617;0.24299;0.26437;0.21913;0.26437
y6618;0.23980;0.42637;0.26462;0.42637
y6619;0.25607;0.30298;0.26159;0.30298
y6620;0.27539;0.30998;0.35244;0.30998
y6621;0.20337;0.30273;0.22701;0.30273
y6622;0.27233;0.28785;0.27724;0.28785
y6623;0.26083;0.21378;0.24562;0.21378
y6624;0.26383;0.21673;0.22603;0.21673
y6625;0.26315;0.24619;0.30557;0.24619
y6626;0.26838;0.36776;0.25284;0.36776
y6627;0.28616;0.42650;0.27134;0.42650
y6628;0.19665;0.51427;0.21559;0.51427
y6629;0.24440;0.31649;0.23716;0.31649
y6630;0.21338;0.34351;0.26467;0.34351
y6631;0.31909;0.40337;0.32226;0.40337
y6632;0.16944;0.24909;0.20085;0.24909
y6633;0.23729;0.39625;0.24346;0.39625
y6634;0.21011;0.51868;0.20771;0.51868
y6635;0.21783;0.36002;0.26870;0.36002
y6636;0.18192;0.17415;0.14786;0.17415
y6637;0.19412;0.35698;0.25179;0.35698
y6638;0.25265;0.26188;0.21173;0.26188
y6639;0.22416;0.21812;0.20047;0.21812
y6640;0.26978;0.38638;0.23292;0.38638
y6641;0.22458;0.27545;0.22002;0.27545
y6642;0.19755;0.42923;0.20574;0.42923
y6643;0.17473;0.18738;0.20649;0.18738
y6644;0.27648;0.32603;0.23640;0.32603
y6645;0.26723;0.46387;0.30035;0.46387
y6646;0.28262;0.29542;0.30626;0.29542
y6647;0.20690;0.45512;0.24030;0.45512
y6648;0.23199;0.31833;0.27719;0.31833
y6649;0.25210;0.22714;0.21974;0.22714
y6650;0.37165;0.40166;0.38996;0.40166
y6651;0.21408;0.35023;0.25219;0.35023
y6652;0.21646;0.24627;0.18560;0.24627
y6653;0.25734;0.24622;0.23401;0.24622
y6654;0.21755;0.21895;0.20443;0.21895
y6655;0.32092;0.40197;0.33791;0.40197
y6656;0.10706;0.08566;0.10709;0.08566
y6657;0.32946;0.62026;0.24542;0.62026
y6658;0.22637;0.29507;0.22792;0.29507
y6659;0.20080;0.30015;0.26474;0.30015
y6660;0.24823;0.26615;0.27595;0.26615
y6661;0.24950;0.45052;0.31737;0.45052
y6662;0.26430;0.20071;0.21369;0.20071
y6663;0.21982;0.21555;0.20850;0.21555
y6664;0.21613;0.33259;0.28826;0.33259
y6665;0.27901;0.42561;0.23682;0.42561
y6666;0.22461;0.25987;0.22664;0.25987
y6667;0.26093;0.26392;0.27967;0.26392
y6668;0.43477;0.45144;0.35293;0.45144
y6669;0.24842;0.54455;0.21503;0.54455
y6670;0.23565;0.22080;0.21113;0.22080
y6671;0.22113;0.26330;0.20004;0.26330
y6672;0.23734;0.34563;0.33051;0.34563
y6673;0.25663;0.50726;0.24768;0.50726
y6674;0.28748;0.51987;0.25753;0.51987
y6675;0.23524;0.50631;0.20589;0.50631
y6676;0.20201;0.28430;0.22246;0.28430
y6677;0.22908;0.44975;0.22662;0.44975
y6678;0.20437;0.49720;0.21601;0.49720
y6679;0.24697;0.42062;0.27911;0.42062
y6680;0.30468;0.38908;0.34461;0.38908
y6681;0.37249;0.37479;0.42941;0.37479
y6682;0.40124;0.47199;0.37299;0.47199
y6683;0.23751;0.24733;0.26754;0.24733
y6684;0.24212;0.57538;0.22913;0.57538
y6685;0.21890;0.27410;0.28091;0.27410
y6686;0.28733;0.42917;0.26795;0.42917
y6687;0.25389;0.30444;0.25726;0.30444
y6688;0.21328;0.30424;0.26494;0.30424
y6689;0.23614;0.53157;0.27686;0.53157
y6690;0.20642;0.48268;0.26255;0.48268
y6691;0.24528;0.23067;0.24267;0.23067
y6692;0.24178;0.32810;0.23514;0.32810
y6693;0.35748;0.51248;0.23845;0.51248
y6694;0.23097;0.53480;0.25298;0.53480
y6695;0.26451;0.23043;0.23660;0.23043
y6696;0.34981;0.45000;0.40238;0.45000
y6697;0.22243;0.25366;0.19792;0.25366
y6698;0.19607;0.41600;0.27216;0.41600
y6699;0.23303;0.23844;0.21650;0.23844
y6700;0.25174;0.47683;0.22103;0.47683
y6701;0.25922;0.44020;0.30554;0.44020
y6702;0.25717;0.45069;0.19062;0.45069
y6703;0.27469;0.26658;0.24435;0.26658
y6704;0.33358;0.41856;0.31046;0.41856
y6705;0.22660;0.30369;0.23053;0.30369
y6706;0.23718;0.21874;0.27600;0.21874
y6707;0.23579;0.26212;0.22188;0.26212
y6708;0.20739;0.36119;0.25955;0.36119
y6709;0.26069;0.26236;0.27537;0.26236
y6710;0.25978;0.41962;0.29933;0.41962
y6711;0.24463;0.32241;0.25755;0.32241
y6712;0.30085;0.41294;0.25383;0.41294
y6713;0.25214;0.41744;0.21314;0.41744
y6714;0.29484;0.38302;0.35513;0.38302
y6715;0.25887;0.42561;0.26031;0.42561
y6716;0.22645;0.34744;0.30127;0.34744
y6717;0.21942;0.33007;0.20464;0.33007
y6718;0.20182;0.20350;0.20050;0.20350
y6719;0.19425;0.21865;0.24596;0.21865
y6720;0.25954;0.24367;0.25950;0.24367
y6721;0.20881;0.29497;0.22351;0.29497
y6722;0.20964;0.20674;0.19641;0.20674
y6723;0.29334;0.30282;0.25059;0.30282
y6724;0.17534;0.19083;0.16125;0.19083
y6725;0.24881;0.23441;0.21476;0.23441
y6726;0.22133;0.35460;0.25023;0.35460
y6727;0.23659;0.36659;0.26615;0.36659
y6728;0.25201;0.26235;0.21390;0.26235
y6729;0.32577;0.44963;0.24710;0.44963
y6730;0.26139;0.38338;0.21265;0.38338
y6731;0.28083;0.32841;0.23196;0.32841
y6732;0.22505;0.24680;0.24733;0.24680
y6733;0.24405;0.33121;0.27892;0.33121
y6734;0.31841;0.40348;0.39581;0.40348
y6735;0.21685;0.31841;0.22064;0.31841
y6736;0.24554;0.23806;0.21733;0.23806
y6737;0.25833;0.27842;0.25343;0.27842
y6738;0.26325;0.36093;0.21370;0.36093
y6739;0.27242;0.33530;0.32126;0.33530
y6740;0.25111;0.24364;0.15685;0.24364
y6741;0.24467;0.24981;0.25405;0.24981
y6742;0.25779;0.49656;0.25535;0.49656
y6743;0.20827;0.57251;0.27419;0.57251
y6744;0.21591;0.34268;0.23968;0.34268
y6745;0.27428;0.49995;0.27516;0.49995
y6746;0.20770;0.27897;0.26411;0.27897
y6747;0.30812;0.36009;0.25899;0.36009
y6748;0.22834;0.28707;0.23537;0.28707
y6749;0.36062;0.55133;0.31412;0.55133
y6750;0.26992;0.31438;0.23350;0.31438
y6751;0.24776;0.19215;0.21781;0.19215
y6752;0.26874;0.34193;0.24581;0.34193
y6753;0.23573;0.23929;0.29405;0.23929
y6754;0.24664;0.33418;0.25012;0.33418
y6755;0.22764;0.34684;0.20116;0.34684
y6756;0.26631;0.23948;0.21807;0.23948
y6757;0.33853;0.44519;0.36098;0.44519
y6758;0.27405;0.38350;0.21576;0.38350
y6759;0.22507;0.59805;0.20351;0.59805
y6760;0.27919;0.38508;0.21165;0.38508
y6761;0.37103;0.64381;0.38118;0.64381
y6762;0.23596;0.28121;0.25364;0.28121
y6763;0.26763;0.29825;0.32698;0.29825
y6764;0.30222;0.43521;0.31744;0.43521
y6765;0.25052;0.45930;0.22336;0.45930
y6766;0.24389;0.29344;0.22272;0.29344
y6767;0.22869;0.20725;0.25304;0.20725
y6768;0.24665;0.27793;0.24712;0.27793
y6769;0.22918;0.43656;0.27808;0.43656
y6770;0.25809;0.27473;0.22248;0.27473
y6771;0.35264;0.61756;0.32632;0.61756
y6772;0.23926;0.39562;0.27337;0.39562
y6773;0.24586;0.53714;0.26628;0.53714
y6774;0.37362;0.39456;0.36009;0.39456
y6775;0.25562;0.31775;0.22791;0.31775
y6776;0.32966;0.60799;0.34093;0.60799
y6777;0.24689;0.43087;0.28286;0.43087
y6778;0.28066;0.32719;0.24127;0.32719
y6779;0.30630;0.39201;0.20392;0.39201
y6780;0.19037;0.29675;0.24019;0.29675
y6781;0.26357;0.43609;0.30123;0.43609
y6782;0.19233;0.38143;0.22999;0.38143
y6783;0.22709;0.32374;0.31021;0.32374
y6784;0.21781;0.44972;0.25102;0.44972
y6785;0.17323;0.17253;0.18756;0.17253
y6786;0.22370;0.47939;0.20268;0.47939
y6787;0.27326;0.35961;0.25918;0.35961
y6788;0.23183;0.53787;0.20191;0.53787
y6789;0.23486;0.45096;0.19748;0.45096
y6790;0.28128;0.44432;0.39830;0.44432
y6791;0.39728;0.47193;0.32795;0.47193
y6792;0.21144;0.24483;0.31459;0.24483
y6793;0.25973;0.46784;0.27962;0.46784
y6794;0.29517;0.43316;0.22554;0.43316
y6795;0.25378;0.26450;0.21048;0.26450
y6796;0.30258;0.45134;0.24343;0.45134
y6797;0.28783;0.38841;0.27648;0.38841
y6798;0.23541;0.34243;0.23349;0.34243
y6799;0.21804;0.24228;0.19212;0.24228
y6800;0.34927;0.58904;0.30467;0.58904
y6801;0.25307;0.48309;0.23420;0.48309
y6802;0.25086;0.33538;0.21144;0.33538
y6803;0.24073;0.33156;0.22889;0.33156
y6804;0.23927;0.45370;0.22514;0.45370
y6805;0.29152;0.22253;0.26481;0.22253
y6806;0.25949;0.33420;0.21667;0.33420
y6807;0.27812;0.26615;0.34226;0.26615
y6808;0.23745;0.37601;0.21229;0.37601
y6809;0.25835;0.26234;0.21087;0.26234
y6810;0.19834;0.21043;0.26809;0.21043
y6811;0.23548;0.34296;0.21792;0.34296
y6812;0.22181;0.35763;0.21920;0.35763
y6813;0.21379;0.27043;0.19885;0.27043
y6814;0.22695;0.30848;0.26212;0.30848
y6815;0.21889;0.31360;0.31363;0.31360
y6816;0.25475;0.39418;0.23649;0.39418
y6817;0.28026;0.38110;0.20736;0.38110
y6818;0.25185;0.36004;0.25436;0.36004
y6819;0.23256;0.26018;0.30388;0.26018
y6820;0.22738;0.34322;0.24036;0.34322
y6821;0.32110;0.26343;0.20076;0.26343
y6822;0.25251;0.29614;0.34282;0.29614
y6823;0.20329;0.44456;0.24792;0.44456
y6824;0.20100;0.36777;0.27174;0.36777
y6825;0.34602;0.51120;0.42231;0.51120
y6826;0.24948;0.46301;0.25682;0.46301
y6827;0.25087;0.48523;0.24087;0.48523
y6828;0.24891;0.34344;0.22183;0.34344
y6829;0.20206;0.21061;0.21267;0.21061
y6830;0.24082;0.29559;0.21813;0.29559
y6831;0.33107;0.39084;0.27034;0.39084
y6832;0.21857;0.22838;0.22454;0.22838
y6833;0.27563;0.48618;0.21975;0.48618
y6834;0.24084;0.33261;0.22115;0.33261
y6835;0.27983;0.52872;0.23953;0.52872
y6836;0.25744;0.31459;0.27265;0.31459
y6837;0.25129;0.47960;0.23199;0.47960
y6838;0.31661;0.37179;0.30658;0.37179
y6839;0.26624;0.45123;0.27696;0.45123
y6840;0.21804;0.24241;0.20926;0.24241
y6841;0.29733;0.60803;0.24954;0.60803
y6842;0.31732;0.38341;0.25293;0.38341
y6843;0.28392;0.22451;0.23542;0.22451
y6844;0.21815;0.28433;0.26387;0.28433
y6845;0.26679;0.21420;0.19846;0.21420
y6846;0.26240;0.31529;0.26378;0.31529
y6847;0.24726;0.34268;0.26974;0.34268
y6848;0.27527;0.29218;0.26591;0.29218
y6849;0.26471;0.48468;0.29069;0.48468
y6850;0.27836;0.52754;0.26813;0.52754
y6851;0.22786;0.49247;0.27227;0.49247
y6852;0.24519;0.42282;0.27984;0.42282
y6853;0.27086;0.33408;0.22380;0.33408
y6854;0.23324;0.34080;0.24202;0.34080
y6855;0.21182;0.36380;0.30487;0.36380
y6856;0.22420;0.52298;0.23835;0.52298
y6857;0.27752;0.30491;0.21457;0.30491
y6858;0.25451;0.35295;0.29423;0.35295
y6859;0.27691;0.37526;0.34006;0.37526
y6860;0.25561;0.36335;0.19102;0.36335
y6861;0.21531;0.25573;0.20990;0.25573
y6862;0.24499;0.28025;0.22156;0.28025
y6863;0.25213;0.51001;0.26033;0.51001
y6864;0.24601;0.32423;0.29208;0.32423
y6865;0.24464;0.40628;0.23490;0.40628
y6866;0.23350;0.26513;0.32067;0.26513
y6867;0.22799;0.32648;0.25958;0.32648
y6868;0.24992;0.27482;0.29214;0.27482
y6869;0.22691;0.57300;0.24394;0.57300
y6870;0.24322;0.35034;0.26839;0.35034
y6871;0.23662;0.31207;0.23185;0.31207
y6872;0.25440;0.42880;0.26320;0.42880
y6873;0.24563;0.38485;0.29575;0.38485
y6874;0.24867;0.24712;0.22425;0.24712
y6875;0.25772;0.28333;0.21474;0.28333
y6876;0.24508;0.48652;0.32522;0.48652
y6877;0.26900;0.50616;0.30935;0.50616
y6878;0.23013;0.27455;0.36937;0.27455
y6879;0.21023;0.55551;0.23703;0.55551
y6880;0.36578;0.38611;0.24156;0.38611
y6881;0.32355;0.43976;0.39292;0.43976
y6882;0.22277;0.34675;0.27648;0.34675
y6883;0.24886;0.40911;0.24368;0.40911
y6884;0.21201;0.27647;0.20348;0.27647
y6885;0.28003;0.42745;0.23186;0.42745
y6886;0.23020;0.28907;0.20369;0.28907
y6887;0.26514;0.47956;0.26321;0.47956
y6888;0.26620;0.27445;0.27069;0.27445
y6889;0.26975;0.37658;0.32297;0.37658
y6890;0.23435;0.53625;0.21852;0.53625
y6891;0.19237;0.32272;0.24740;0.32272
y6892;0.24875;0.26646;0.22066;0.26646
y6893;0.31063;0.33743;0.21454;0.33743
y6894;0.35786;0.46568;0.38482;0.46568
y6895;0.23778;0.44100;0.27760;0.44100
y6896;0.27237;0.31469;0.27316;0.31469
y6897;0.26796;0.46278;0.26837;0.46278
y6898;0.33221;0.30401;0.23174;0.30401
y6899;0.24561;0.23024;0.27159;0.23024
y6900;0.24398;0.28539;0.22161;0.28539
y6901;0.22272;0.52761;0.22224;0.52761
y6902;0.33144;0.55474;0.32312;0.55474
y6903;0.25290;0.31507;0.27828;0.31507
y6904;0.24365;0.26128;0.28661;0.26128
y6905;0.23743;0.23318;0.28842;0.23318
y6906;0.26697;0.39476;0.19153;0.39476
y6907;0.23740;0.20670;0.23523;0.20670
y6908;0.24607;0.23766;0.25217;0.23766
y6909;0.24677;0.29751;0.23678;0.29751
y6910;0.21201;0.38422;0.22868;0.38422
y6911;0.22313;0.47760;0.21511;0.47760
y6912;0.23392;0.22038;0.25677;0.22038
y6913;0.28229;0.29755;0.22064;0.29755
y6914;0.33178;0.33433;0.31064;0.33433
y6915;0.13413;0.12682;0.15109;0.12682
y6916;0.24980;0.44696;0.27120;0.44696
y6917;0.25367;0.31745;0.23839;0.31745
y6918;0.16605;0.17347;0.19452;0.17347
y6919;0.25987;0.28566;0.20437;0.28566
y6920;0.29958;0.54036;0.47337;0.54036
y6921;0.30311;0.44533;0.21505;0.44533
y6922;0.27482;0.27137;0.25211;0.27137
y6923;0.28953;0.43191;0.28200;0.43191
y6924;0.35542;0.44851;0.37425;0.44851
y6925;0.27469;0.35840;0.21882;0.35840
y6926;0.22273;0.24789;0.28901;0.24789
y6927;0.28912;0.32336;0.23197;0.32336
y6928;0.43374;0.51512;0.33681;0.51512
y6929;0.23056;0.32154;0.21097;0.32154
y6930;0.31467;0.38128;0.24378;0.38128
y6931;0.22134;0.23157;0.25241;0.23157
y6932;0.34017;0.57238;0.34312;0.57238
y6933;0.22405;0.27696;0.22304;0.27696
y6934;0.26888;0.29156;0.24344;0.29156
y6935;0.22006;0.31438;0.24073;0.31438
